h/l,M_infty,F_axial_RANS [N/m],F_axial_SmallPert [N/m],F_axial_ShockExp [N/m],F_axial_Combined [N/m],Diff_SmallPert [%],Diff_ShockExp [%],Diff_Combined [%],Avg_P_Error_SP [%],Avg_P_Error_SE [%],Avg_P_Error_Combined [%],Case_Key
0.039999999999999994,3.0,797.1108,861.7419538268917,615.4892266324182,615.5254160462692,7.500061327092034,-29.508485984376676,-29.500871617732628,96.94598887986302,33.138979743436174,32.42971089533047,h_l_0.04_Mach_3.0
0.039999999999999994,3.5,433.75403,476.34962265327084,324.53074305578457,324.54591883745104,8.942086296972496,-33.655759154303965,-33.6495094050338,134.2125351217463,37.615699510151416,36.97454650347663,h_l_0.04_Mach_3.5
0.039999999999999994,4.0,155.64743,270.6665999901379,176.51132609341187,176.51797042770642,42.49477755083446,11.820145559638807,11.823464748215052,114.00261655667819,58.80045217532416,58.214031276844025,h_l_0.04_Mach_4.0
0.049999999999999996,1.5,2593.4414,8521.044016421352,6257.931798358661,6258.657931171175,69.56427638148514,58.55753162841737,58.56233980557726,60.287699581046915,52.38670268027162,50.98794006940219,h_l_0.05_Mach_1.5
0.049999999999999996,2.0,1850.4474,4587.7410963193315,3271.9341045041547,3272.198879013675,59.665391990409056,43.44484550749414,43.44942174623919,71.73192848843713,50.30317934865939,49.30742446871205,h_l_0.05_Mach_2.0
0.049999999999999996,2.5,1110.4104,2481.5033005741766,1715.2372192455273,1715.3267494909137,55.252511647528515,35.26199245611895,35.26537140983896,89.26298016356711,53.514792891618676,52.774920323881126,h_l_0.05_Mach_2.5
0.049999999999999996,3.0,638.17145,1346.4731921520683,885.0948887879865,885.1294918754882,52.60422179412895,27.897962598361325,27.90078134198264,109.3568302487689,58.82751089592003,58.179584176556155,h_l_0.05_Mach_3.0
0.049999999999999996,3.5,367.32968,744.2970533650339,466.40687753862005,466.420973975685,50.6474357602581,21.242653338432337,21.245033587268814,130.8683919685656,64.37974812951012,63.803590479821025,h_l_0.05_Mach_3.5
0.049999999999999996,4.0,216.07678,422.9169988523947,253.99504434610833,254.00106139134434,48.907993101980516,14.928740919793782,14.930756177570126,150.57934401935748,68.90452062711378,68.39631573494796,h_l_0.05_Mach_4.0
0.06,1.5,3281.635,12270.31877804783,8326.25576090495,8326.975013209034,73.25550322590948,60.5869059995227,60.5903103520788,73.7975609183419,59.31956053599821,57.971541166416166,h_l_0.06_Mach_1.5
